Modelo;N° de modelo;Modelo activo;Familia;SAP;Instrumento;Precio unitario ;Garantia;Fecha de modificación;Descripción;Clase de impuesto;Responsable;Fecha de creación;Última modificación por;Fabricante;Referencia;Imagen del Modelo;Enlace ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e-G51ST07C;PR01;1;GUARDIAN 5000;30500540;PLANCHAS DE LABORATO;0.00000000;1 AÑO POR DEFECTO DE;25/11/2025 14:27;Planchas para laboratorio marca Ohaus SAP: 30500540 Panel frontal de PET Pantalla: LCD con luz de fondo personalizable Construcción de la placa: Cerámica Control: Digital Función: Agitación Capacidad: 15 L Tamaño de la placa: 178 mm x 178 mm Rango de velocidad: 60 rpm ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e-G51HP07C;PR02;1;GUARDIAN 5000;30500530;PLANCHAS DE LABORATO;0.00000000;1 AÑO POR DEFECTO DE;25/11/2025 14:28;Planchas para laboratorio marca Ohaus SAP: 30500530 Panel frontal de PET Pantalla: LCD con luz de fondo personalizable Construcción de la placa: Cerámica Control: Digital Función: Calentamiento Capacidad: 15 L Tamaño de la placa: 178 mm x 178 mm Rango de temp.: Ambiente +5°C –500°C Calibración: Calibración de temperatura de 3 placas/3 sondas Dimensiones: 309 mm x 122 mm x 223 mm (LxAxA) Alimentación: 120 V, 10 A, 50/60 Hz Consumo de energía: 1.080 W Certificación de seguridad: TUV Sonda de temperatura: Disponible como un accesorio;;Marketing;21/02/2023 9:26;Marketing;OHAUS;;e-G51HP07C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e-G71HSRDM;PR03;1;GUARDIAN 7000;30500620;PLANCHAS DE LABORATO;0.00000000;1 AÑO POR DEFECTO DE;25/11/2025 14:28;Planchas para laboratorio marca Ohaus SAP: 30500620 Panel frontal de vidrio templado Construcción de la placa: Aluminio Pantalla: LCD con luz de fondo personalizable Control: Digital Función: Calentamiento y agitación Capacidad: 20 l Tamaño de la placa: 135 mm Rango de temp.: Ambiente + 5°C – 380°C Rango de velocidad: 60 rpm ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e-G71HS10C;PR04;1;GUARDIAN 7000;30500610;PLANCHAS DE LABORATO;0.00000000;1 AÑO POR DEFECTO DE;25/11/2025 14:27;Planchas para laboratorio marca Ohaus SAP: 30500610 Panel frontal de vidrio templado Construcción de la placa Cerámica Pantalla LCD con luz de fondo personalizable Control Digital Función: Calentamiento y agitación Capacidad: 18 l Tamaño de la placa: 254 mm x 254 mm Rango de temp. Ambiente +5°C –500°C Rango de velocidad: 60 rpm ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PR224/E;PR05;1;PR SERIES;30430062;BALANZAS ANALITICAS;0.00000000;1 AÑO POR DEFECTO DE;11/02/2025 19:11;Balanza Analitica marca Ohaus SAP: 30430062 Carcasa superior de ABS, bandeja de acero inoxidable extraíble, protector de vidrio extraíble con puerta superior deslizante. Capacidad máxima 220 g Lectura mínima: 0,1 mg Tamaño del plato: 90 mm Calibración interna: No Aplica Protección: contra corrientes de aire Incluido Ionizador incorporado: No Comunicación: RS232 Dimensiones: 317 mm x 303 mm x 201 mm (LxAxA) Pantalla: LCD con retroiluminación Linealidad: ± 0,0002 g Alimentación: Adaptador de CA (incluido) Repetibilidad, típica: 0,0001 g Tiempo de estabilización: 3 s Rango de tara: Capacidad total por sustracción Unidades de medida: Miligramo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PX523/E;PR06;1;PIONEER;30430057;BALANZA ANALITICA;0.00000000;1 AÑO POR DEFECTO DE;11/02/2025 11:40;Balanza analitica marca Ohaus SAP: 30430057 Carcasa superior de plástico Material del plato: Acero inoxidable Capacidad máxima: 520 g Lectura mínima: 0,001 g Tamaño del plato: 120 mm Calibración interna: No Aplica Protección contra corrientes de aire: — Comunicación: USB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PX3202/E;PR07;1;PIONEER;30429851;BALANZA DE PRECISIO;0.00000000;1 AÑO POR DEFECTO DE;11/02/2025 11:40;Balanza de precisión marca Ohaus SAP: 30429851 Carcasa superior de plástico Material del plato: Acero inoxidable Capacidad máxima: 3.200 g Lectura mínima: 0,01 g Tamaño del plato: 180 mm Calibración interna: No Aplica Protección contra corrientes de aire: — Modelo de pantalla auxiliar: Disponible como accesorio Comunicación: USB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PX323/E;PR08;1;PIONEER;30429849;BALANZA SEMI ANALITI;0.00000000;1 AÑO POR DEFECTO DE;11/02/2025 11:38;Balanza analitica marca Ohaus SAP: 30429849 Carcasa superior de plástico Material del plato: Acero inoxidable Capacidad máxima: 320 g Lectura mínima: 0,001 g Tamaño del plato: 120 mm Calibración interna: No Aplica Protección contra corrientes de aire: Incluido Modelo de pantalla auxiliar: Disponible como accesorio Comunicación: USB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PX224/E;PR09;1;PIONEER;30429847;BALANZA ANALITICA;0.00000000;1 AÑO POR DEFECTO DE;11/02/2025 11:40;Balanza analitica marca Ohaus SAP: 30429847 Carcasa superior de plástico Material del plato: Acero inoxidable Capacidad máxima: 220 g Lectura mínima: 0,1 mg Tamaño del plato: 90 mm Calibración interna: No Aplica Protección contra corrientes de aire: Incluido Modelo de pantalla auxiliar: Disponible como accesorio Comunicación: USB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PX4201/E;PR10;1;PIONEER;30429816;BALANZA DE PRECISIO;0.00000000;1 AÑO POR DEFECTO DE;11/02/2025 11:36;Balanza de precisión marca Ohaus SAP: 30429816 Carcasa superior de plástico Material del plato: Acero inoxidable Capacidad máxima: 4.200 g Lectura mínima: 0,1 g Tamaño del plato: 180 mm Comunicación: USB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
